# BEAST v1.6.1, Build r3651
# Generated Thu Apr 28 21:54:11 NZST 2011 [seed=1303984450769]
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	ac	ag	at	cg	gt	frequencies1	frequencies2	frequencies3	frequencies4	alpha	pInv	clock.rate	treeLikelihood	coalescent
0	-9514.957473598166	48.21081715725508	-9563.16829075542	0.054	0.054	1.0	1.0	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.5	0.02	-9563.16829075542	61.19674556227876
1000	-3904.4136677806528	-21.182674900027997	-3883.230992880625	0.1755311250819072	0.3707183751248169	0.9383245897631325	1.4665119558830968	1.089953680982335	0.882806597180086	1.0	0.2500000001	0.23426652401594275	0.25028694338080604	0.2654465325032512	0.5	0.5	0.09953985210626637	-3883.230992880625	-5.989175967659495
2000	-3481.541956090783	-39.65172470455249	-3441.8902313862304	0.43488680709774397	0.6551179667357593	0.9383245897631325	1.4665119558830968	1.089953680982335	0.882806597180086	1.0	0.2500000001	0.22429025425958415	0.24312083995803893	0.2825889056823769	0.5	0.5	0.06710291947737489	-3441.8902313862304	-23.888853128527522
3000	-3395.515347529858	-38.28274803635999	-3357.232599493498	0.5386797160645298	1.0398560006862991	0.7199991251357872	1.4665119558830968	1.089953680982335	0.7507237798084103	0.8445512243428466	0.2500000001	0.21729073585270586	0.24312083995803893	0.28958842408925517	0.7460881032433784	0.5	0.09308977746864873	-3357.232599493498	-22.674510947525427
4000	-3379.4518008455475	-48.77499541006809	-3330.6768054354793	0.7117692092616918	1.2700170831056283	0.7199991251357872	2.1683339369702304	0.841396229889478	0.7507237798084103	0.7095324357608159	0.2552457662280335	0.21204496972467232	0.24312083995803893	0.28958842408925517	1.0203835659118874	0.49802572953506363	0.07649093535784823	-3330.6768054354793	-33.00993363446331
5000	-3408.398972369252	-77.00058519720734	-3331.3983871720447	2.450365778541222	4.864981760300806	0.7199991251357872	2.1683339369702304	0.841396229889478	0.7507237798084103	0.7095324357608159	0.24980198464940115	0.2174887513033047	0.24312083995803893	0.28958842408925517	1.0525087421505686	0.49802572953506363	0.023567662125746958	-3331.3983871720447	-59.892490806783286
6000	-3427.9045225191817	-96.41648748819644	-3331.4880350309854	4.959800035359993	10.46643712238421	0.7199991251357872	2.2197087213442814	0.6055192931929909	0.7507237798084103	0.6756340227509554	0.24980198464940115	0.2174887513033047	0.24312083995803893	0.28958842408925517	1.040839439491879	0.6094524633724787	0.010438642917350454	-3331.4880350309854	-78.90347953884637
7000	-3395.9068230421253	-73.22842703468146	-3322.678396007444	2.2389864126841874	4.6881151331944455	0.7199991251357872	2.2197087213442814	0.6055192931929909	0.47730720408638894	0.5788125277582906	0.24980198464940115	0.21885464800183477	0.24175494325950886	0.28958842408925517	1.040839439491879	0.5387933863870041	0.028343803432562886	-3322.678396007444	-57.13275880364058
8000	-3384.3635917240094	-65.83796316995075	-3318.5256285540586	1.6225070011179976	2.638600688723228	0.6595293591604261	1.885646971911682	0.5453270857091871	0.47730720408638894	0.4564244331690321	0.24980198464940115	0.21510399777120545	0.24175494325950886	0.2933390743198845	1.2142704571201743	0.5611506814871315	0.037931161319411044	-3318.5256285540586	-50.921515324968624
9000	-3373.7294372053243	-66.47221599628641	-3307.257221209038	1.8086733196878746	3.096968909114736	0.6595293591604261	1.885646971911682	0.5453270857091871	0.47730720408638894	0.37633010087323837	0.24980198464940115	0.21510399777120545	0.24175494325950886	0.2933390743198845	0.9428185991402596	0.5611506814871315	0.03129124091426667	-3307.257221209038	-51.58691109887629
